"anonid" "age_bin" "genderFM" "syn_selfreport" "ConsistencyScore" "SynStatus" "r" "StructureScore" "p-value"
"71" "111446b7-a15f-4bd0-97a4-531117481215" "(38,48]" "female" "dunno" 200.456908980945 "NonSyn" 0.393869450416 "z-score" 0.003
"72" "1125c8a1-2dc0-46ef-84f5-5c7f704b05fb" "(48,58]" "female" "dunno" 205.127671835127 "NonSyn" 0.144598713147 "z-score" 0.0104
"73" "115d0ea5-9235-4c24-a4d9-ade05bbf28ea" "[18,28]" "female" "no" 230.341416261584 "NonSyn" 0.200062393301 "z-score" 0.0064
"74" "1163e950-9ede-43c2-951a-a38d0f2d6d30" "(58,68]" "female" "no" 224.801300623138 "NonSyn" 0.0464254680797 "z-score" 0.1113
"75" "116f2913-a3e9-492f-90cd-56853d3d1d53" "(48,58]" "female" NA 82.1417396133934 "Syn" 0.370763391687 "z-score" 0.0035
"76" "11861862-ec7d-4f02-9905-1cda61fc5834" "(38,48]" "female" "no" 232.89667727827 "NonSyn" 0.124551327079 "z-score" 0.0093
"77" "11b58877-d2a4-4138-9f46-dd95cb2e2dfc" "(28,38]" "female" "dunno" 204.526250684112 "NonSyn" 0.244592868068 "z-score" 0.0133
"78" "1226af03-6fd9-466b-b17a-63f11b72f3dd" "(28,38]" "female" "dunno" 256.263907628487 "NonSyn" 0.302332876123 "z-score" 0.003
"79" "12715937-2cd3-4a7a-824e-48000b9be628" "(48,58]" NA NA 288.923465112345 "NonSyn" 0.0913325354696 "z-score" 0.035
"80" "1278a49f-5efb-4f71-a05d-9a772d273ace" NA NA NA 193.701529066168 "NonSyn" 0.056475639885 "z-score" 0.2264
"81" "1279043f-0a6a-4137-a41c-59e958d8424c" "(48,58]" "female" "dunno" 248.969566291516 "NonSyn" 0.108692246192 "z-score" 0.0158
"82" "1306cf90-150c-437c-882c-eebdb4f65d86" "(48,58]" "male" "dunno" 306.305824219918 "NonSyn" 0.0384772155834 "z-score" 0.1508
"83" "130b717f-7c09-4785-98c1-f18d74a03554" NA NA NA 232.351341783135 "NonSyn" 0.21296970997 "z-score" 0.001
"84" "1314fe9d-82c2-4988-a6a4-1d065738be1d" "[18,28]" "female" "no" 248.500455050866 "NonSyn" 0.582953954619 "z-score" 0
"85" "1381f363-1634-4555-98dc-d26132dbddc5" NA NA NA 153.241230936035 "NonSyn" 0.604037875596 "z-score" 2e-04
"86" "13846b2e-9f8d-4eba-a921-f7896be2817e" "(38,48]" "female" "yes" 205.776894126045 "NonSyn" 0.29186386685 "z-score" 0.0078
"87" "1398d7c8-b428-4e74-b40f-6938514d4d7f" "(58,68]" "female" "dunno" 82.7681095624262 "Syn" 0.704237116852 "z-score" 3e-04
"88" "13c038a2-a8b7-4e39-95f7-31a0b9692116" "(38,48]" "female" "dunno" 131.339751556582 "Syn" 0.325685278411 "z-score" 4e-04
"89" "14148f2f-7873-4b35-8fc2-8eeb8a45c590" "(58,68]" "female" "no" 246.556978605146 "NonSyn" 0.014204841454 "z-score" 0.4204
"90" "14236210-9b51-41b9-8ee8-acc15fb692f3" "[18,28]" NA NA 343.739538949455 "NonSyn" 0.180042418742 "z-score" 0.0025
