"anonid" "setname" "item" "color1" "color2" "color3" "timing1" "timing2" "timing3"
"63" "009f9049-bb4f-4dec-a889-2a408d9b7fc4" "set1" "16" "#808080" "#80807F" "#EFF708" 2914 1683 1808
"64" "009f9049-bb4f-4dec-a889-2a408d9b7fc4" "set1" "07" "#FFFFFF" "#FFFFFF" "#FFFFFF" 1845 1640 2440
"65" "00ac0df1-ee81-4357-86c9-ce8691a6a4f1" "set1" "12" "#659A9A" "#D92D26" "#C2583D" 10382 4440 5160
"66" "00ac0df1-ee81-4357-86c9-ce8691a6a4f1" "set1" "09" "#6C58A7" "#D49B2B" "#DA7A25" 7973 10443 5347
"67" "00ac0df1-ee81-4357-86c9-ce8691a6a4f1" "set1" "14" "#C05D0B" "#CD5C32" "#996225" 14289 8727 12717
"68" "00ac0df1-ee81-4357-86c9-ce8691a6a4f1" "set1" "13" "#D82742" "#DD5122" "#3597CA" 7947 6062 13535
"69" "00ac0df1-ee81-4357-86c9-ce8691a6a4f1" "set1" "08" "#3BC4C4" "#B5874A" "#F2AF4C" 6186 15466 16582
"70" "00ac0df1-ee81-4357-86c9-ce8691a6a4f1" "set1" "02" "#CAFCF6" "#0BEDF4" "#08F7DC" 8168 5032 4665
"71" "00ac0df1-ee81-4357-86c9-ce8691a6a4f1" "set1" "03" "#EBEE41" "#EFE610" "#DCDC23" 17777 11251 4095
"72" "00ac0df1-ee81-4357-86c9-ce8691a6a4f1" "set1" "11" "#C76D38" "#CB6934" "#C3753C" 4339 11900 7202
"73" "00ac0df1-ee81-4357-86c9-ce8691a6a4f1" "set1" "05" "#C5D827" "#DCDC23" "#E2C11D" 10683 6121 6028
"74" "00ac0df1-ee81-4357-86c9-ce8691a6a4f1" "set1" "15" "#E35D1C" "#B35219" "#BC7443" 4550 7373 4456
"75" "00ac0df1-ee81-4357-86c9-ce8691a6a4f1" "set1" "01" "#A0F7FD" "#14E7EB" "#1AE1E5" 11524 4478 3735
"76" "00ac0df1-ee81-4357-86c9-ce8691a6a4f1" "set1" "06" "#C4BC15" "#32B4CD" "#D97026" 9571 19230 5574
"77" "00ac0df1-ee81-4357-86c9-ce8691a6a4f1" "set1" "04" "#D0C62F" "#E3DE1C" "#EBF00F" 12118 17507 3875
"78" "00ac0df1-ee81-4357-86c9-ce8691a6a4f1" "set1" "10" "#E23C1D" "#BF7E40" "#BE8041" 8700 2847 7862
"79" "00ac0df1-ee81-4357-86c9-ce8691a6a4f1" "set1" "16" "#34CBC5" "#20DFDE" "#0CF3EF" 2968 9674 3485
"80" "00ac0df1-ee81-4357-86c9-ce8691a6a4f1" "set1" "07" "#CD860D" "#86BCE1" "#4A6CB5" 16541 22323 12245
"81" "0127d04d-0070-4bec-a004-2e658edac121" "set1" "12" "#4A09F6" "#FC035F" "#DA06F9" 5819 2329 2367
"82" "0127d04d-0070-4bec-a004-2e658edac121" "set1" "09" "#5474AB" "#2803FC" "#3D02FD" 3199 2718 2931
"83" "0127d04d-0070-4bec-a004-2e658edac121" "set1" "14" "#301AE5" "#0C03FC" "#6D06F9" 2504 1448 819
"84" "0127d04d-0070-4bec-a004-2e658edac121" "set1" "13" "#F8079B" "#0811F7" "#8B09F6" 2562 1866 1467
"85" "0127d04d-0070-4bec-a004-2e658edac121" "set1" "08" "#6B59A6" "#56A4A9" "#9FA45B" 2151 2206 2006
"86" "0127d04d-0070-4bec-a004-2e658edac121" "set1" "02" "#F6A609" "#FACA05" "#B3BC43" 2644 3039 1254
"87" "0127d04d-0070-4bec-a004-2e658edac121" "set1" "03" "#F8A807" "#CAFC03" "#C6EB14" 1836 1288 5630
"88" "0127d04d-0070-4bec-a004-2e658edac121" "set1" "11" "#3B87C4" "#0604FB" "#5903FC" 2415 3253 1994
"89" "0127d04d-0070-4bec-a004-2e658edac121" "set1" "05" "#66F807" "#03FCF8" "#02FD8E" 2348 1259 4574
"90" "0127d04d-0070-4bec-a004-2e658edac121" "set1" "15" "#3D05FA" "#8D05FA" "#4706F9" 1687 3602 1502
